Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Prediccion,Predicted_Probability
1,0,0,1,2,9771,1,1,1,5,4,3,0,1,6,3,5,4,1,1,1000,435,1,1.0
0,1,56,0,2,9637,3,5,6,0,3,5,6,6,3,3,2,3,0,3,1017,1576,1,1.0
1,0,30,1,1,2029,3,3,1,1,5,6,1,3,5,4,2,1,4,4,633,1005,0,7.256536614228113e-31
1,1,77,1,2,982,6,1,1,4,1,4,3,5,0,3,1,6,5,6,1208,399,1,1.0
0,1,25,0,1,8122,6,5,3,6,5,6,3,0,5,5,1,3,4,6,654,1805,1,1.0
1,0,65,1,2,2831,2,0,5,5,1,6,4,0,2,2,5,2,5,3,1507,1825,0,1.777632484284128e-69
1,1,51,0,1,9032,4,5,2,4,5,6,6,4,2,4,4,5,6,2,1789,517,1,1.0
0,0,82,0,0,6463,2,5,5,0,3,1,2,1,1,1,6,5,3,2,958,447,1,1.0
0,1,81,0,0,2771,6,5,5,5,0,4,3,6,6,1,4,2,3,6,213,1339,0,1.2906401639686548e-82
0,0,3,1,2,586,1,5,2,4,2,1,4,0,3,6,1,5,2,1,493,1371,0,2.42246856383425e-145
1,1,46,0,0,4964,3,5,3,2,0,2,3,2,1,4,2,0,2,0,1431,1321,1,1.0
1,0,8,1,0,240,3,1,1,5,6,3,0,1,5,2,6,4,2,0,351,1694,0,1.8528356355721823e-212
0,1,78,0,1,1947,5,5,0,2,0,4,6,0,0,4,0,4,2,5,656,1621,0,5.4621786034531366e-126
1,1,72,0,2,9727,0,3,0,4,3,4,0,4,5,1,0,6,3,2,1624,1167,1,1.0
0,1,6,1,0,4528,0,2,2,6,1,3,0,5,0,2,0,5,4,4,131,635,1,1.0
0,0,95,1,0,7595,2,0,5,3,2,5,0,4,5,0,4,5,5,6,477,322,1,1.0
0,0,33,0,2,6665,5,4,3,5,4,3,3,3,0,5,5,0,6,1,1473,1649,1,1.0
1,0,82,0,1,5007,5,0,1,5,6,3,3,2,1,4,5,4,2,5,1890,1005,1,1.0
0,1,53,0,2,9357,3,0,5,3,5,2,6,5,5,5,4,4,5,5,1471,260,1,1.0
1,0,63,0,1,4132,3,0,1,4,4,3,5,6,4,2,3,6,1,6,1551,1344,1,1.0
0,0,94,1,1,8029,3,5,2,0,6,1,0,1,3,2,0,1,3,2,775,227,1,1.0
1,0,16,0,0,5036,0,1,3,6,6,6,4,2,3,6,3,6,0,1,1323,138,1,1.0
0,1,8,0,0,2435,2,5,2,4,3,2,3,5,3,5,5,5,0,2,32,861,0,3.9794047267395686e-34
1,0,89,1,1,5888,4,3,5,0,1,0,3,2,5,4,3,4,2,2,196,1782,0,4.2304682674612494e-38
1,1,10,0,0,2551,1,3,0,0,1,3,6,2,5,2,3,5,5,1,1177,1852,0,1.8319136370045243e-102
0,0,17,1,0,1949,4,0,5,1,5,3,0,1,0,5,5,3,5,6,1466,75,1,1.0
1,0,50,1,2,6834,6,4,2,1,0,3,3,3,1,3,0,0,4,5,1405,1299,1,1.0
0,0,78,0,1,3690,6,5,0,3,0,6,0,0,0,1,6,4,4,0,909,1639,0,5.172632606784851e-50
0,1,8,0,0,1500,6,4,5,4,6,0,6,6,4,3,4,6,1,1,192,460,1,0.9599504437738304
0,1,87,0,2,317,1,0,5,5,5,1,1,3,1,0,2,1,5,5,214,1432,0,1.6768892171917794e-187
0,1,40,0,2,6745,4,5,0,6,6,3,2,0,0,4,4,4,4,1,502,1388,1,1.0
0,0,51,1,2,8973,2,1,4,5,5,5,4,0,6,3,5,3,0,2,583,458,1,1.0
1,0,3,1,2,9704,1,6,0,2,0,6,0,3,1,0,1,5,3,2,565,943,1,1.0
0,1,15,1,0,6150,0,3,1,3,2,4,5,3,3,6,2,6,3,6,153,1581,1,0.9998776846888614
0,1,56,0,2,6807,4,5,0,3,3,3,5,1,5,5,0,6,0,5,820,819,1,1.0
0,1,52,0,2,2775,1,2,4,2,3,6,1,4,3,2,5,5,4,1,188,1815,0,2.4349726948458808e-152
0,1,86,1,2,2889,1,1,5,3,2,2,4,0,2,2,5,0,2,0,977,1512,0,5.473523130764351e-59
1,0,52,0,2,7694,5,6,1,0,1,1,1,0,3,0,6,3,0,5,1565,1498,1,1.0
1,0,37,0,0,141,3,1,2,4,3,6,2,3,3,6,2,3,4,5,1483,1650,0,1.3556960803871926e-139
1,1,27,0,0,9052,0,6,0,2,4,4,4,1,6,5,5,3,6,2,1703,962,1,1.0
0,1,51,1,1,3304,5,2,4,5,4,4,3,2,3,3,4,5,3,3,1539,1775,0,1.6454310197817362e-42
1,1,9,0,0,9946,4,5,2,1,2,0,3,3,1,2,6,3,3,1,259,1926,1,1.0
1,1,57,1,1,1476,0,0,4,2,5,0,2,4,1,1,2,3,0,4,111,255,1,1.0
1,1,100,1,1,2115,2,1,0,6,5,4,0,0,5,4,2,5,3,2,1200,1755,0,1.0202214272854592e-105
0,1,10,1,1,1186,2,5,4,0,6,0,0,2,6,4,2,6,0,2,212,1913,0,6.391936640287128e-221
0,1,82,0,2,5666,5,3,3,0,3,5,5,6,6,1,3,4,6,3,82,1135,1,1.0
1,0,79,1,1,2904,2,4,6,4,1,1,1,6,5,6,1,5,5,1,110,867,0,2.7455173037631804e-16
1,1,19,1,0,1598,1,3,3,5,6,3,4,5,6,0,5,5,1,2,384,1821,0,1.579809913106365e-181
0,0,29,1,1,5188,3,0,1,1,0,4,6,2,0,4,2,3,3,4,354,1211,1,1.0
1,1,67,1,0,5662,1,4,2,2,1,0,3,4,6,4,6,5,3,0,615,1343,1,1.0
1,0,56,1,2,5141,2,0,4,1,4,3,6,0,1,5,6,1,4,6,901,796,1,1.0
0,0,56,1,2,4430,6,0,3,1,1,2,5,4,3,1,2,5,4,6,230,1427,0,2.773560971414878e-33
1,1,84,0,0,5707,4,5,0,6,4,5,3,4,4,2,2,1,1,1,965,374,1,1.0
0,0,71,1,0,4312,4,2,2,1,0,1,5,4,1,4,4,5,3,4,1963,1561,1,1.0
0,1,81,1,1,9436,2,3,3,5,4,2,3,3,3,2,6,0,6,4,319,1588,1,1.0
1,1,33,1,1,5366,6,3,1,4,4,0,3,2,5,5,0,6,1,6,129,1845,0,3.3279788832574963e-66
1,1,25,1,2,1064,1,6,1,6,5,6,3,5,3,0,3,4,2,4,521,504,1,0.6235542983323892
1,0,95,1,2,6967,5,0,3,1,4,2,6,3,5,5,0,0,1,1,1778,146,1,1.0
1,0,51,1,2,6910,0,0,3,2,5,0,5,5,3,6,5,1,1,0,735,680,1,1.0
1,0,47,0,2,1676,1,2,6,5,3,0,1,5,4,5,5,0,6,1,1050,419,1,1.0
1,1,44,0,0,5437,3,0,2,5,0,3,4,2,3,6,5,2,3,1,1186,1598,1,1.0
0,1,10,0,2,7357,5,4,4,4,5,1,0,6,4,4,2,4,3,4,1848,539,1,1.0
1,1,100,0,1,4066,6,4,1,5,4,3,4,5,0,0,3,1,6,6,1893,704,1,1.0
0,0,55,0,2,9386,1,2,1,0,6,1,5,3,4,0,3,2,3,5,23,927,1,1.0
1,0,75,1,0,761,6,4,0,4,2,2,4,1,2,2,1,2,3,4,341,745,0,2.9659405663938255e-60
1,1,28,1,0,2926,2,6,2,5,5,1,3,0,3,5,2,6,1,3,674,945,1,0.9999999999919407
0,1,56,0,2,8336,0,0,2,0,3,6,4,1,0,2,5,2,0,0,1970,27,1,1.0
1,1,14,0,0,9168,6,1,6,0,2,1,5,3,4,1,2,1,2,1,1501,21,1,1.0
