Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Prediccion,Predicted_Probability
1,1,98,0,1,4419,3,1,4,6,6,1,3,6,6,4,2,2,3,4,496,451,0,0.0006810575
1,1,82,1,0,6610,5,6,5,4,5,3,4,2,2,4,5,1,5,3,487,142,1,0.98529726
1,1,0,0,2,8159,3,3,1,2,3,0,4,1,3,0,6,0,2,1,1747,667,0,0.00047848147
0,0,55,1,2,1864,4,3,3,6,3,6,4,3,4,4,2,0,2,0,727,1172,1,0.89058715
0,0,25,1,1,1291,1,2,3,4,4,4,3,6,5,2,2,0,5,5,421,82,1,0.6364584
1,0,77,0,1,8509,4,6,2,6,4,3,0,4,0,0,3,2,2,1,1365,622,0,0.0013377736
0,0,23,1,2,6726,5,1,2,6,5,1,5,5,2,6,0,6,4,1,1747,159,1,0.99959725
0,1,46,0,1,2055,0,6,4,3,5,3,0,0,5,1,6,4,2,6,491,1585,1,0.7697585
0,1,20,0,2,6538,1,5,6,0,4,2,5,5,2,5,5,6,3,2,1102,735,0,0.29761046
1,1,77,0,2,1813,4,3,0,5,3,0,4,2,6,4,5,4,1,5,1778,255,0,0.005502634
1,0,32,0,1,5224,1,6,6,1,0,4,1,5,3,0,4,3,0,2,210,767,0,0.0021202334
0,1,28,1,0,929,6,6,3,6,5,1,5,0,4,4,5,4,6,4,1403,166,1,0.99043006
1,0,98,1,1,7824,3,4,2,4,1,4,3,1,5,2,5,5,6,3,1976,1426,1,0.8027942
1,0,5,0,0,7962,6,4,1,2,5,3,2,4,6,5,0,3,3,0,438,1472,1,0.9824034
0,0,89,0,2,7358,6,2,4,0,6,0,4,3,1,0,0,5,3,3,394,758,1,0.98916876
1,1,34,0,1,7379,0,5,1,1,4,3,2,0,2,4,2,6,0,0,1963,1558,1,0.9848112
1,1,63,1,1,8275,2,5,4,3,3,4,4,6,1,1,4,4,3,0,117,697,0,0.0058806143
1,0,24,1,1,9296,2,3,6,3,1,3,1,6,3,1,1,5,3,5,929,1392,1,0.8918532
1,1,53,1,0,9155,4,0,3,3,1,3,3,5,4,5,4,1,4,6,899,427,0,0.07989678
1,1,90,1,1,5988,5,3,3,2,3,4,4,2,5,2,3,3,5,1,259,1893,1,0.82055706
0,1,87,0,2,6083,3,5,1,5,6,0,4,3,6,1,5,6,3,4,669,1108,0,0.0054496136
0,0,65,1,2,1210,2,1,2,0,2,3,0,1,5,2,6,0,1,2,1105,1541,1,0.54511136
1,0,36,1,1,2305,4,1,5,6,4,6,0,1,0,3,1,1,5,3,1026,1692,1,0.99380714
1,0,90,1,1,2107,3,6,3,5,2,1,0,5,1,5,3,1,5,3,1958,99,0,0.09878683
0,0,73,1,1,6948,2,5,0,3,0,1,2,2,5,6,0,6,3,4,1032,21,1,0.5223316
1,0,83,1,0,5592,3,6,0,1,6,2,6,2,2,0,3,4,2,2,1473,1034,0,0.015372067
0,1,77,0,0,7461,0,5,5,5,6,6,4,1,6,6,5,4,3,5,377,876,1,0.9399298
1,0,52,0,1,5637,5,4,5,5,1,3,6,6,1,2,3,1,1,0,1553,1065,1,0.9624093
0,0,81,0,1,7820,4,1,6,6,2,1,0,6,4,5,5,0,4,5,38,1230,0,0.00471991
0,0,41,1,2,992,0,5,3,0,1,3,4,4,0,6,2,1,4,2,1081,798,1,0.99994206
1,0,37,1,1,9673,3,6,0,2,3,1,2,0,2,2,1,3,3,2,1452,65,0,0.025682857
1,0,77,1,1,6631,2,0,2,2,4,0,5,5,3,3,2,5,0,2,1079,1796,1,0.9903582
1,0,29,1,2,1168,6,4,5,5,6,0,4,1,2,4,3,6,6,0,39,1117,1,0.9998845
1,0,94,0,2,742,3,1,6,6,4,0,0,2,4,2,2,3,1,3,923,1053,0,0.002469068
1,1,75,1,1,946,0,4,4,6,5,0,0,1,3,6,0,1,4,2,1091,1279,1,0.99249107
0,1,44,0,1,8000,5,4,0,0,4,2,6,4,0,3,1,2,0,1,1678,1436,1,0.962718
